id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
779,ВЫХОДИТЬ,GO OUT,къотӏи волӏеду,qʼоtʼi -eʟidegu,къотӏи волӏида эгу (къотӏи волӏидегу),къотӏи волӏи,къотӏи волӏиби,v,мн.ч. - релӏиби,0,0,0,Двигаться из помещения на улицу.,Он вышел из дома на улицу.
780,ПРИХОДИТЬ,COME,вохьеду,-exaʟegu,вохьалӏа эгу (вохьалӏегу),вохьа,вохьуби,v,вохьа йехьва бехьва бехьу рехьу,24,24,15,"О человеке: достигать (желательно, пешком) точки-ориентира. Следует отличать как от ‘входить’ (‘внутрь ограниченного пространства’), так и от ‘прибывать’ или ‘достигать’ (упор на обстоятельства достижения цели или на сам факт того, что она достигнута).","1. Он пришёл ко мне (в мой дом). 2. Гость пришёл вчера, завтра он уйдёт."
781,ВОЗВРАЩАТЬСЯ,COME BACK,гьеда ссоледу,heda sːоrdegu,гьеда ссорда эгу (гьеда ссордегу),гьеда ссоли,гьеда ссолиби,v,,27,0,0,Приходить в исходную точку после передвижения в другое место.,1. Он вернулся из города в родное селение. 2. Мой дедушка вернулся с войны с медалью.
782,УХОДИТЬ,GO AWAY,вуНъеду,-ũʔaʟegu,вуНъалӏа эгу (вуНъалӏегу),вуНъа,вуНъаби,v,вуНъа йиНъа муНъа муНъу нуНъу,23,0,0,"Надолго покидать место, в котором находился до того существенное время.","1. Гость ушёл домой. 2. Где Расул? Его нет, он ушёл."
783,ИСЧЕЗАТЬ,DISAPPEAR,бетеду,-etidegu,бетида эгу (бетидегу),бета,бетаби,v,вота йета бета бети рети,6,0,0,"Утрачивать контакт, выходить из поля зрения. О животных и о людях; если используются разные глаголы, выбирать тот, который относится к животным.","1 Корова потерялась. 2. Мурад потерялся, мы его не видели 10 лет."
784,УБЕГАТЬ,FLEE,гьедачӏчӏоледу,hedačʼːоrdegu,гьедачӏчӏорда эгу (гьедачӏчӏордегу),гьедачӏчӏоли,гьедачӏчӏолиби,v,,33,0,0,"Быстро покинуть место опасной или неприятной ситуации. (Concepticon, изм.)","1. Он убежал от грабителей. 2. Лиса убегает, когда видит человека."
785,ДОЙТИ,ARRIVE,вагӏеду,-aʕidegu,вагӏида эгу (вагӏидегу),вагӏа,вагӏаби,v,вагӏа йагӏа багӏа багӏи рагӏи,25,0,0,Прийти в точку назначения. (Concepticon),1. Он шёл 10 дней и дошёл до селения. 2. Автобус прибыл в деревню.
786,ВХОДИТЬ,ENTER,гьинди волӏеду,hindi -eʟidegu,гьинди волӏида эгу (гьинди волӏидегу),гьинди волӏи,гьинди волӏи / волӏиби,v,"волӏи, йелӏи, белӏи, белӏи, релӏи",26,0,0,Перемещаться с улицы в помещение.,Гость вошёл с улицы в дом.
787,НЕСТИ,CARRY,баччиледу,-ačːidegu,баччида эгу (баччидегу),баччили,баччила,v,ваччили йаччили баччили баччили раччили,94,220,0,Поднять и переместить в другое место; транспортировать на весу. (Concepticon),1. Женщины носят воду в кувшинах. 2. Он отнёс сено скотине. 3. Этот камень тяжело нести.
788,ПОСЫЛАТЬ,SEND,бечитеду,-ečitidegu,бечитида эгу (бечитидегу),бечити,бечита,v,вочити йечити бечити бечити речити,0,0,0,Велеть (прямым сообщением или косвенно) человеку отправиться в другое место с заданием или посланием.,"1. Я послал сына в город. 2. Я послал Расула сказать Мураду, что я заболел и не приду."
789,ГНАТЬ,DRIVE,минчеду,-inčedegu,минчеда эгу (минчедегу),миНчи,минча,v,"вунчи, йинчи, минчи, минчи, нинчи",31,0,0,"Вызывать движение животных, следуя за ними. (Concepticon)",Пастух гонит стадо на пастбище.
790,САДИТЬСЯ ВЕРХОМ,MOUNT,хьонила вуНщдеду,xоnila -ũšːdidegu,хьонила вуНщдида эгу (хьонила вуНщдидегу),хьонила вуНщди,хьонила вуНщдаби,v,"вуНщди, йиНщди, муНщди, вуНщди, нуНщди",44,0,0,"Занять положение на лошади или другом домашнем животном, позволяющее управлять им.",Я сел верхом на лошадь.
791,ТОЛКАТЬ,PUSH,тункуледу,tunkudegu,тункуда эгу (тункудегу),тункули,тункула,v,,91,120,0,Самый общий глагол для передвижения предмета руками в направлении от себя — базовый антоним глагола ‘тянуть’. Далее см. англ. (CoBL),1. Он шёл и толкал телегу перед собой. 2. Он оттолкнул стол от себя.
792,СОБИРАТЬСЯ,GATHER (INTR),бакӏариледу,-akʼaridegu,бакӏарида эгу (бакӏаридегу),бакӏарили,бакӏарила,v,вакӏарили йакӏарили бакӏарили бакӏарили ракӏарили,28,0,0,"Приходить в одно и то же место для разговора или совершения совместной работы, о людях.","1. Старики собрались на годекане. 2. Сельчане собрались, чтобы починить дорогу."
793,ДОРОГА,ROAD,микъи,miqʼi,,микъил,микъалди,n,микъала - на дороге,400,0,68,"Наиболее обычный тип дороги для данного ареала (тропа [но не звериная], серпантин и т. д.). Во многих случаях ‘тропа’ оказывается предпочтительнее ‘дороги’, т. к. противопоставлена последней как культурному термину, заимствованному от более технологически развитой цивилизации. (GLD)","1. Из моего селения в соседнее есть дорога, а в то дальнее селение дороги нет. (GLD) 2. Он идет по дороге. (GLD)"
794,МОСТ,BRIDGE,кьеру,ʟʼeru,,кьерул,кьерубади,n,кьерила - на мосту,401,0,0,"Структура, пересекающая реку и дающая возможность перейти через неё. (Concepticon, mod.)","1. Я перешёл реку по мосту. 2. Мост через реку разрушился, придётся идти вброд."
795,АРБА,CARRIAGE,гьоку,hоku,,гьокул,гьокаби / гьокубади,n,,336,0,0,"Традиционная телега, запрягаемая лошадьми или ослами.","Раньше грузы возили на арбах, теперь — на машинах."
796,САНИ,SLEDGE,чанагъ,čanaʁ,,чанагъул,чанагъиби,n,,335,0,0,Транспортное средство с полозьями вместо колёс для передвижения по снегу.,1. По снегу ездят на санях. 2. Запряги сани лошадью.
797,КОЛЕСО,WHEEL,гури,guri,,гурил,гураби,n,,337,0,0,"Круглый объект, вращающийся вокруг центральной оси, тем самым позволяя двигаться с малым трением. (Concepticon)","1. У телеги сломалось колесо. 2. Колесо состоит из оси, обода и спиц."
798,ОСЬ,AXLE,гӏери,heri,,гӏерилул,гӏераби,n,,0,0,0,"Центральная часть колеса, находящаяся в покое, когда вокруг неё вращаются обод и спицы.","1. От тяжелого веса у колеса переломилась ось. 2. Колесо состоит из оси, обода и спиц."
799,ЯРМО,YOKE,рукьи,ruʟʼi,,рукьил,рукьибади,n,,284,0,0,Устройство для сцепления вместе пары тягловых животных.,"Мы надели на пару волов ярмо, чтобы они тащили плуг."
800,НОША,BURDEN,гьимир,himir,,гьимирал,гьимирди,n,,332,0,0,"Тяжёлый груз, носимый человеком на спине.",Моя бабушка носила на спине тяжёлые ноши.
800,НОША,BURDEN,кущда,kušːda,,кущдул,кущдиби,n,,332,0,0,"Тяжёлый груз, носимый человеком на спине.",Моя бабушка носила на спине тяжёлые ноши.
801,ВЬЮК,PACK SADDLE,къе,qʼe,,къел,-,n,,333,0,0,"Тяжёлый груз, надеваемый на спину ослу.",Мы надели на осла тяжёлый вьюк. - Ищид хӏамар гьаркӏибагьи бехӏибах эгу. Или: хӏамарила саругу къе билъибахх эгу.
802,ОХАПКА,ARMFUL,гьакье,haʟʼe,,гьакьел,гьакьебади,n,,334,0,0,"Объём, который помещается при обхвате двумя руками.",Он взял охапку сена.
803,СЕДЛО,SADDLE,кьеркьил,ʟʼerʟʼil,,"кьеркьилал, кьеркьилул",кьеркьилди,n,,338,0,0,Сидение для наездника лошади.,1. Надень седло на лошадь. 2. Он умеет ездить на коне без седла.
804,УЗДЕЧКА,BRIDLE,баргьан,barhan,,баргьанул,баргьанди,n,,339,0,0,"Система ремней, надеваемая на голову лошади для управления ею.","Чтобы ездить на лошади, нужно надеть на неё седло и уздечку."
805,КНУТ,WHIP,жоркьил,žоrʟʼil,,жоркьилул (лал),жоркьилди,n,,340,0,0,"Предмет, ударами которого люди командуют животными.","Он ударил кнутом о землю, чтобы лошадь остановилась."
806,СТРЕМЯ,STIRRUP,узденга,uzdenga,,узденгал,узденгади,n,,341,0,0,"Устройство, фиксирующее ногу наездника на лошади.",1. Стремя держит ногу наездника. 2. Поставь ногу в стремя.
806,СТРЕМЯ,STIRRUP,корлъин,kоrɬin,,корлъинал,корлъинди,n,,341,0,0,"Устройство, фиксирующее ногу наездника на лошади.",1. Стремя держит ногу наездника. 2. Поставь ногу в стремя.
807,ПОДКОВА,HORSESHOE,лъалихӏанкӏва,ɬaliħankʼʷa,,лъалихӏанкӏвалъил,лъалихӏанкӏвабади,n,,342,0,0,"Металлический предмет, прибиваемый гвоздями к копыту лошади и помогающий ей ходить по пересечённой местности.",1. Подкову прибивают к копыту гвоздями. 2. Подкова помогает лошади ходить.
808,КОРАБЛЬ,SHIP,гама,gama,,гамил,гамиби,n,,0,0,0,"Общее слово для судна, предназначенного для передвижения по воде.",На кораблях плавают по морю.
809,БРАТЬ,TAKE,бигьеду,-ihidegu,бигьида эгу (бигьидегу),бигьи,багьа,v,вугьи йигьи бигьи бигьи ригьи,14,221,0,"Наиболее общее слово, имеющее значение переноса объекта из одного места в другое. Избегать слов для воровства, если они отличаются. Избегать слов, подчёркивающих насильный отъём. Базовый корень без дополнительных показателей, если возможно. (CoBL)","1. Когда пойдёшь в магазин, не забудь взять деньги. 2. Я взял топор, чтобы отнести брату."
810,ДЕРЖАТЬ,HOLD,бухьагьеду,-uxahidegu,бухьагьида эгу (бухьагьидегу),бухьагьи,бухьагьа,v,вухьагьи йихьвагьи бухьагьи бухьагьи рухьагьи,0,0,0,Сжимать предмет в руке.,Он держал в руке молоток.
811,ОСТАВЛЯТЬ,LEAVE (TR),бесседу,-esːidegu,бессида эгу (бессидегу),бесси,бесса,v,восси йесси бесси бесси ресси,5,0,0,"Намеренно положить предмет в какое-либо место, например, для того, чтобы другой человек мог его взять. Отличать от ‘оставить’ в значении ‘забыть’ (<i>Я оставил ключи дома</i>) или ‘отпустить’.",Я оставил книгу на столе для Расула.
812,ОСТАВАТЬСЯ,STAY,вуНгъеду,-ĩʁidegu,вуНгъида эгу (вуНгъидегу),вуНгъа,вуНгъаби,v,вуНгъа йиНгъа миНгъа миНгъи ниНгъи,4,0,0,Не уйти из какого-либо места после завершения основного дела. Часто употребляется в контексте ночёвки гостя у хозяина.,Гость остался у меня дома на ночь.
813,ОТНИМАТЬ,SEIZE,бухъеду,-uqidegu,бухъида эгу (бухъидегу),бухъи,бухъа,v,вухъи йихъи бухъи бухъи рухъи,16,0,0,"Брать предмет у другого человека против его воли. При наличии нескольких глаголов предпочтителен тот, который предполагает физический отъём.",1. Грабители отняли у него все деньги. 2. Советская власть отняли у моего деда всю скотину.
814,ДАВАТЬ,GIVE,бихьеду,-ixidegu,бихьида эгу (бихьидегу),бихьи,бихья,v,вухьи йихьи бихьи бихьи рихьи,12,63,32,"Отличать от ‘протягивать’, ‘вкладывать в руку’ и т. п., а также от специальных «вежливых» форм. В некоторых языках отчетливо различаются понятия ‘давать (1‑му/2‑му л.)’ и ‘давать (3-му л.)’ (ср. разницу между контекстами 1 и 2); оба корня позволительно брать как синонимичные в том случае, если невозможно обнаружить третий предикат, нейтральный по отношению к лицу реципиента. (CoBL)","1. Я даю отцу камень.  2. Отец дает мне камень.  3. Он дал ему палку, но потом выхватил ее обратно."
815,СПАСАТЬ,SAVE,хвассар гигьеду,χʷasːar gihidegu,хвассар гигьида эгу (хвассар гигьидегу),хвассар гигьи,хвассар гигьа,v,,0,0,0,"Предотвращать опасность или гибель, угрожающую человеку или объекту.","1. Мы потушили пожар и спасли дом. 2. Ребёнок упал в реку, но Мурад его спас."
816,РАЗРУШАТЬ,DESTROY,баххаледу,-aχːaldegu,баххалда эгу (баххалдегу),баххали,баххала,v,ваххали йаххали баххали баххали раххали,0,0,0,Полностью уничтожать крупное строение.,"Он разрушил старый дом, чтобы построить новый."
817,ИСКАТЬ,LOOK FOR,гьинкӏеду,hinkʼidegu,гьинкӏида эгу (гьинкӏидегу),гьинкӏи,гьинкӏя,v,,10,0,0,Пытаться найти что-либо. (Concepticon),"1. Он ищет ключ, но не может найти. 2. Я потерял нож и теперь ищу его."
818,НАХОДИТЬ,FIND,миНседу,-ĩsidegu,миНсида эгу (миНсидегу),миНса,миНсаби,v,вуНса йиНса миНса миНси ниНси,11,0,0,"Встретить что-л. после того, как ранее потерял.","1. Я потерял ключ, но потом нашёл. 2. Я часто теряю инструменты, но потом нахожу."
819,ТЕРЯТЬ,LOSE,бетеду,-etidegu,бетида эгу (бетидегу),бета,бетаби,v,вота йета бета бети рети,7,0,0,Утратить знание о местоположении предмета.,"1. Я потерял ключ, но потом нашёл. 2. Я часто теряю инструменты, но потом нахожу."
820,ОТПУСКАТЬ,RELEASE,этеду,etidegu,этида эгу (этидегу),эти,эта,v,,30,0,0,Позволить человеку уйти.,1. Его отпустили из тюрьмы. 2. Мама отпустила сына погулять.
821,ДЕНЬГИ,MONEY,гӏарци,ʕarci,,гӏарцил,гӏарцалди,n,,0,0,0,"Основное средство обмена, принимаемое всеми участниками экономики.",1. У него много денег. 2. Без денег жить плохо.
822,БОГАТЫЙ,RICH,бечидав,bečidaw,,,,adj,бечидабе гӏадамади - богатые люди,0,0,0,Имеющий много денег.,1. У богатого человека много денег. 2. Отец нашёл дочери богатого жениха.
823,БЕДНЫЙ,POOR,мискинув,miskinuw,,,,adj,,0,0,0,Имеющий мало денег.,1. У бедного человека мало денег. 2. Она вышла замуж за бедного учителя.
824,НИЩИЙ,BEGGAR,патихӏа,patiħa,,патихӏащуб,патихӏади,adj,,0,0,0,"Человек, регулярно просящий деньги у других людей и живущий с их подаяний.","1. Нищие просят деньги у прохожих. 2. Быть нищим стыдно, нужно работать."
825,ДАВАТЬ В ДОЛГ,LEND,къарзлъила бихьеду,qʼarzɬila -ixide,,къарзлъила бихьи,къарзлъила бихья,v,"вухьи, йихьи, бихьи, бихьи, рихьи",0,0,0,"Давать деньги другому человеку с договорённостью, что тот их вернёт.","Расул дал Мураду в долг 100 рублей, но тот их не вернул."
826,ЗАНИМАТЬ,BORROW,къарзлъила бигьеду,qʼarzɬila -ihidegu,къарзлъила бигьида эгу (къарзлъила бигьидегу),къарзлъила бигьи,къарзлъила багьа,v,"вугьи, йигьи, бигьи, бигьи, ригьи",0,0,0,"Брать деньги у другого человека, обещая их вернуть.",Мурад взял денег в долг у Расула и вернул их через месяц.
827,ДОЛГ (ДЕНЕЖНЫЙ),DEBT (FINANCIAL),гьеби,hebi,,гьебал,гьебалди,n,,0,0,0,"Деньги, взятые в долг у другого человека.","У него очень большой долг, он никогда не сможет его вернуть."
828,ПОКУПАТЬ,BUY,бигьеду,-ihidegu,бигьида эгу (бигьидегу),бигьи,багьа,v,вугьи йигьи бигьи бигьи ригьи,15,0,0,"Получить в обмен на деньги. (Concepticon, изм.)","1. Чтобы купить дом, нужно много денег. 2. Мурад купил машину у Расула."
829,ПРОДАВАТЬ,SELL,бихьеду,-ixidegu,бихьида эгу (бихьидегу),бихьи,бихья,v,вухьи йихьи бихьи бихьи рихьи,13,0,0,Предоставить товар или услугу в обмен на деньги. (Concepticon),"У Мурада было мало денег, и он продал свою машину."
830,"ТОРГОВЛЯ, ОБМЕН","TRADE, BARTER",даран,daran,,даранлъил,-,n,,0,0,0,Обмен товарами и/или деньгами.,1. Х занимаются торговлей. 2. Он заработал много денег торговлей. 3. В последние годы торговля ослабла.
831,ЦЕНА,PRICE,багьа,baha,,багьал,багьабади,n,,0,0,0,"Количество денег, уплачиваемое за единицу товара или услуги. (Concepticon)",1. Цену устанавливает продавец. 2. Я попросил продавца снизить цену.
832,ДОРОГОЙ,EXPENSIVE,ххирасс,χːirasː,,,,adj,,0,0,0,Имеющий высокую цену.,"Эта машина дорогая, я не могу её купить."
833,ДЕШЁВЫЙ,CHEAP,учузисс,učuzisː,,,,adj,,0,0,0,Имеющий низкую цену.,"Эта машина слишком дешёвая, она будет плохо ездить."
834,ВЕСИТЬ,WEIGH (INTR),генеду,gendegu,генда эгу (гендегу),гени,гена,v,,0,0,0,"Иметь вес, равный какому-либо значению.",1. Старший сын весит больше младшего. 2. Сколько весит этот мешок? - Гьинкӏявал вохьящуд кьанихъ гени  мукӏувщучӏ. Чами килу генуб къелъинад?
835,"ЗА, СЗАДИ",BEHIND,гьедахх,hedaχː,,,,adv,,494,0,0,"С тыльной, задней (не видной говорящему) стороны предмета.","1. За той горой есть другое селение. 2. Он остался сзади, надо его подождать."
836,ВНИЗУ,BELOW,кекьи,keʟʼi,,,,adv,,492,0,0,"На меньшей высоте, чем говорящий.","Мы стоим на горе, селение находится внизу."
837,РАНЬШЕ,BEFORE,гьинкӏва,hinkʼʷa,,,,adv,,0,0,0,"В момент, предшествующий во времени настоящему. Избегать маркированных выражений ‘в старые времена’  и т.д.","Раньше Магомед жил в селении, а теперь живёт в городе."
838,ВПЕРЕДИ,IN FRONT,ссе,sːe,,,,adv,,493,0,0,"Перед лицом говорящего, в направлении его взгляда.","Впереди высокая гора, давайте отдохнём."
839,ВНУТРИ,INSIDE,гьини,hini,,,,adv,,495,0,0,"Внутри помещения или сосуда. Избегать специальных выражений со значением ‘дома’, ‘в здании’.","1. Где Расул? — На улице темно, он уже внутри. 2. Вот коробка. Твой подарок внутри. 3. Внутри этот дом красивее, чем снаружи."
840,СНАРУЖИ,OUTSIDE,къотӏи,qʼоtʼi,,,,adv,,0,0,0,Вне помещения или сосуда. Избегать специальных выражений со значением ‘на улице’.,"1. Где Расул? — Он снаружи, вышел. 2. Снаружи этот дом красивее, чем внутри."
841,ВВЕРХУ,ABOVE,кельа,kelʔa,,,,adv,,491,0,0,"На большей высоте, чем говорящий.","Мы стоим в долине, селение — наверху."
842,МЕЖДУ,BETWEEN,бакьихъ,baʟʼiq,,,,adv,,496,0,0,"В промежутке, разделяющем два объекта. (Concepticon)",На свадьбе я сидел между Расулом и Мурадом.
843,МЕСТО,PLACE,макӏа,makʼa,,"макӏалъил, макӏал",макӏалди,n,,471,0,0,Положение или область в пространстве. (Concepticon),1. Селение стоит в очень красивом месте. 2. Это место называется Х.
844,ПРЕДМЕТ,THING,даН,dã,,данул,дандиби,n,,470,0,0,Общее обозначение для отдельного предмета.,1. В сарае много разных предметов. 2. Что это за предмет?
845,КЛАСТЬ,PUT,билъеду,biɬidegu,билъида эгу (билъидегу),билъи,билъа,v,вулъи йилъи билъи билъи рилъи,46,0,0,"Перемещать объект на какую-либо поверхность, оставляя его там.",Он положил молоток на стол.
846,САДИТЬСЯ,SIT DOWN,кӏусуледу,kʼusudegu,кӏусуда эгу (кӏусудегу),кӏусули,кӏусулиби,v,,43,0,0,Принимать положение сидя.,1. Сядь. 2. Он сел и сразу встал.
847,СИДЕТЬ,SIT,см. кӏусуледу,see kʼusuledu,,,,v,,0,143,75,"Самый общий глагол, обозначающий состояние человека, сидящего со спиной в вертикальном положении и ногами в покое. (далее см. CoBL) Во многих языках отсутствует стативный глагол со значением ‘сидеть’ — в них это значение должно заполняться той же лексемой, что и САДИТЬСЯ.","1. Человек может стоять, сидеть и лежать. (GLD) 2. На этом камне/бревне удобно сидеть. (GLD)"
848,ЛОЖИТЬСЯ,LIE DOWN,гиледу,girdegu,гирда эгу (гирдегу),гили,гилиби,v,,45,0,0,Принимать положение лёжа.,1. Ляг. 2. Он лёг и сразу встал.
849,ЛЕЖАТЬ,LIE,см. гиледу,see giledu,,,,v,,0,94,47,"Глагол состояния; не рекомендуется подменять инхоативным глаголом ‘ложиться’, хотя подобного рода практика существует (на самом деле, оба понятия часто выражаются одним и тем же корнем). Строго отличать от лежания в конкретных позах (‘лежать на боку’, ‘лежать ничком’ и т. п.). Ср. аналогичные требования для №75 ‘сидеть’, №80 ‘стоять’. (GLD) Во многих глагол стативный глагол со значением ‘лежать’ отсутствует. Тогда следует заполнять это значение той же лексемой, что и ЛОЖИТЬСЯ.","1. Человек может стоять, сидеть и лежать. (GLD) 2. Почему ты лежишь в постели? (GLD)"
850,ОСТАНАВЛИВАТЬСЯ,HALT (INTR),миНгъеду,-ĩʁidegu,миНгъида эгу (миНгъидегу),миНгъи,миНгъаби,v,вуНгъа йиНгъа миНгъа миНгъи ниНгъи,42,0,0,Прекратить двигаться.,Вол устал и остановился.
851,СТОЯТЬ,STAND,ихитиледу,iχitiledegu,ихитиледа эгу (ихитиледегу),ихитили,ихитилиби,v,,0,158,80,"Самый общий глагол, обозначающий положение человека в покое с выпрямленной спиной на ногах. (см. далее CoBL) Во многих языках стативный глагол ‘стоять’ отсутствует. Тогда следует заполнять это значение инхоативным глаголом.","1. Человек может стоять, сидеть и лежать. (GLD) 2. Он стоит на двух ногах. (GLD) 3. Я устал стоять, я хочу лечь. (GLD)"
852,ВСТАВАТЬ,STAND UP,гьерчӏчӏеду,herčʼːidegu,гьерчӏчӏида эгу (гьерчӏчӏидегу),гьерчӏчӏи,гьерчӏчӏиби,v,,40,0,0,Принимать положение стоя из положения сидя.,1. Встань. 2. Он встал и пошёл к двери.
853,СОБИРАТЬ,GATHER (TR),бакӏариледу,-akʼaridegu,бакӏарида эгу (бакӏаридегу),бакӏарили,бакӏарила,v,вакӏариледу йакӏариледу бакӏариледу бакӏариледу ракӏариледу,29,0,0,Складывать предметы вместе.,1. Ребёнок собрал игрушки. 2. Женщины собирают ягоды.
854,ПОДНИМАТЬ,PICK UP,гьерцӏаледу,hercʼaldegu,гьерцӏалда эгу (гьерцӏалдегу),гьерцӏали,гьерцӏала,v,,41,0,0,Взять предмет с земли рукой.,Я поднял молоток с пола.
855,"ВСОВЫВАТЬ, ПРОДЕВАТЬ",INSERT,кеххеду,keχːidegu,кеххида эгу (кеххидегу),кеххи,кехха,v,,47,0,0,Поместить предмет в специально предназначенное для него место.,Он продел нитку в иголку.
855,"ВСОВЫВАТЬ, ПРОДЕВАТЬ",INSERT,буххаледу,-uχːidegu,буххида эгу (буххидегу),буххали,буххала,v,вуххали,47,0,0,Поместить предмет в специально предназначенное для него место.,Он продел нитку в иголку.
856,ПРИВЯЗЫВАТЬ,BIND (TR),данди маНхьведу,dandi -ãxudegu,данди маНхьуда эгу (данди маНхьудегу),данди маНхьу,данди маНхьва,v,"ваНхьу, йаНхьу, маНхьу, маНхьу, наНхьу",107,0,0,"Присоединить верёвкой движимый объект (например, животное) к недвижимому (например, к дереву).",Он привязал лошадь к дереву.
857,ОТВЯЗЫВАТЬ,UNBIND (TR),бутеду,-utidegu,бутида эгу (бутидегу),бути,бута,v,"вути, йути, бути, бути, рути",109,0,0,"Отсоединить движимый объект (например, животное) от недвижимого (например, дерева), к которому он был привязан верёвкой.",
858,ПРИЛИПАТЬ,STICK (INTR),къабеду,qʼabdegu,къабда эгу (къабдегу),къаби,къабиби,v,,110,0,0,"Принимать состояние, при котором предмет трудно отделить от другого предмета.",Тесто прилипло к столу.
859,ПРИКЛЕИВАТЬ,GLUE (TR),синагьеду,sinahidegu,синагьида эгу (синагьидегу),синагьи,синагьа,v,,111,0,0,Надёжно присоединить один объект к другому без использования гвоздей или другого крепежа.,Он приклеил ножку к столу.
860,ОТКРЫВАТЬ,OPEN (TR),гӏаругьеду,ʕaruhidegu,гӏаругьида эгу (гӏаругьидегу),гӏаругьи,гӏаругьа,v,,101,0,0,"Сделать вход в помещение доступным, убирая препятствие (дверь, ворота и т.д.).","Гости пришли, открой дверь."
861,ОТКРЫВАТЬСЯ,OPEN (INTR),гӏаругьи муНъэду,ʕaruhi -ũʔaʟegu,гӏаругьи муНъалӏа эгу (гӏаругьи муНъалӏегу),гӏаругьи муНъа,гӏаругьи муНъаби,v,"вуНъа, йиНъа, муНъа, муНъу, нуНъу",100,0,0,"(О двери, воротах) Перейти в положение, при котором вход в помещение доступен.","Дул сильный ветер, и дверь открылась."
862,ЗАКРЫВАТЬ,CLOSE (TR),накъеду,naqʼidegu,накъида эгу (накъидегу),накъи,накъа,v,,104,0,0,"Сделать вход в помещение недоступным, устанавливая препятствие (дверь, ворота и т.д.).",Закрой дверь.
863,ЗАКРЫВАТЬСЯ,CLOSE (INTR),накъи муНъеду,naqʼi -ũʔedegu,накъи муНъэда эгу (накъи муНъэдегу),накъи муНъа,накъи муНъаби,v,"вуНъа, йиНъа, муНъа, муНъу, нуНъу",103,0,0,"(О двери, воротах) Перейти в положение, при котором вход в помещение недоступен.","Дул сильный ветер, и дверь закрылась."
864,ОТПИРАТЬ,UNLOCK (TR),рощеду,rоšːidegu,рощида эгу (рощидегу),рощи,роща,v,,102,0,0,Закрыть на ключ.,
865,ЗАПИРАТЬ,LOCK (TR),керщеду,keršːidegu,керщида эгу (керщидегу),керщи,керща,v,,105,0,0,Открыть ключом.,
866,НАКРЫВАТЬ,COVER,бацоледу,-acоldegu,бацолда эгу (бацолдегу),бацоли,бацола,v,вацоли йацоли бацоли бацоли рацоли,0,0,0,"Положить предмет сверху, чтобы убрать объект из виду или защитить его.",Он накрыл яму травой.
867,ПРЯТАТЬ,HIDE (TR),эбаледу,ebaldegu,эбалда эгу (эбалдегу),эбали,эбала,v,эвала (у старших носителей),9,222,0,"Поместить объект в место, где его будет труднее обнаружить или где он не виден. (Concepticon)","1. Он спрятал деньги, чтобы их не украли. 2. В сталинское время сельчане прятали зерно."
868,ПРЯТАТЬСЯ,HIDE (INTR),эбеду,ebdegu,эбда эгу (эбдегу),эби,эбиби,v,,8,0,0,"Переместиться в место, в котором человека не видно другим людям.",Ребёнок спрятался от родителей.
869,ВЫСОКИЙ,HIGH,гьерцӏцӏув,hercʼːuw,,,,adj,,519,0,0,Имеющий сравнительно большой размер в вертикальном измерении.,"1. Дерево высокое, куст — низкий. 2. Это дерево выше того."
870,НИЗКИЙ,LOW,гъардигисс,ʁardigisː,,,,adj,,0,0,0,Имеющий сравнительно небольшой размер в вертикальном измерении.,"1. Дерево высокое, куст — низкий. 2. Это дерево ниже того."
871,ВЕРХУШКА,TOP (N),пурцӏцӏун,purcʼːun,,пурцӏцӏунал,пурцӏцӏунди,n,,0,0,0,Наивысшая точка объекта.,"1. Он поднялся на вершину горы. 2. Я вижу гору, но её вершину не видно из-за тумана."
872,ДНО,BOTTOM (N),гьимъу,himʔu,,гьимъул,гьимъубади,n,,469,0,0,Нижняя поверхность внутренней части сосуда.,1. Кувшин не пустой: на дне осталась вода. 2. Я уронил монету на дно кувшина.
873,"КОНЧИК, ОСТРИЕ",END (OF KNIFE),бал,bal,,баллъил,балди,n,,468,0,0,Острая конечная часть лезвия.,Не трогай острие ножа.
874,КРАЙ,EDGE,регӏил,reʕil,,регӏилул,регӏилди,n,,467,0,0,Граница поверхности. (Concepticon),Убери стакан от края стола.
875,ПРАВЫЙ,RIGHT,битӏубал,bitʼubal,,,,adj,битӏуребал рельиби - правые руки,555,124,0,Находящееся с правой стороны относительного другого объекта. (Concepticon),"1. Вилку держат в левой руке, нож — в правой. 2. Мой левый глаз видит лучше, чем правый."
876,ЛЕВЫЙ,LEFT,когӏибал,kоʕibal,,,,adj,,556,92,0,Находящееся с левой стороны относительно другого объекта.,"1. Вилку держат в левой руке, нож — в правой. 2. Мой левый глаз видит лучше, чем правый."
877,БЛИЗКО,NEAR,лӏаргьа,ʟarha,,,,adv,,498,108,103,"Самое общее слово, как правило, наречие, обозначающее пространственную близость. Избегать прилагательных и послелогов, если они отличаются. Избегать слов для ‘по соседству’, ‘около’ и т.д. Антоним ДАЛЕКО. (CoBL)","1. Это дерево далеко, я его плохо вижу, а это дерево близко, я его хорошо вижу. (GLD) 2. Туда можно дойти за один день, это близко. (CoBL)"
